game,number_of_game_type,game_type:,round,seed,agent,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities
3,1,Pursuers: 3 vs Evaders: 1,19,8977,adversary_0,active,"[1.0, 0.0, 1.5640254020690918, 0.9256977438926697, -0.6926648020744324, 0.3165874183177948, -2.592245578765869, -2.448657989501953, -1.498883843421936, -0.9061442017555237, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",,,,"[1.0, 0.0]","[1.5640254020690918, 0.9256977438926697]","[0.76158524, 3.5659027, 1.7514994]","[2.7128856, -2.3846712, -2.5978372]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,19,8977,adversary_1,non-active,"[0.9832935929298401, 0.18202680349349976, 0.8713605999946594, 1.242285132408142, 0.6926648020744324, -0.3165874183177948, -1.899580717086792, -2.7652454376220703, -0.8062191009521484, -1.222731590270996, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.30502248959352446, 0.0]",,,,"[0.9832935929298401, 0.18202680349349976]","[0.8713605999946594, 1.242285132408142]","[0.76158524, 3.3548455, 1.464603]","[-0.42870718, -2.172709, -2.1537228]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,19,8977,adversary_2,non-active,"[-0.8885721564292908, 0.4587368965148926, -1.0282200574874878, -1.5229603052139282, 2.592245578765869, 2.448657989501953, 1.899580717086792, 2.7652454376220703, 1.0933616161346436, 1.5425138473510742, -0.0, -0.0]","[0.0, 1.0, 0.0, 0.0, 0.9521253858549559]",,,,"[-0.8885721564292908, 0.4587368965148926]","[-1.0282200574874878, -1.5229603052139282]","[3.5659027, 3.3548455, 1.8907111]","[0.75692135, 0.9688837, 0.9541767]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,19,8977,agent_0,evader,"[-0.0, -0.0, 0.06514149159193039, 0.019553527235984802, 1.498883843421936, 0.9061442017555237, 0.8062191009521484, 1.222731590270996, -1.0933616161346436, -1.5425138473510742]","[0.0, -2.7070388328783563, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[0.06514149159193039, 0.019553527235984802]","[1.7514994, 1.464603, 1.8907111]","[0.5437554, 0.98787, -2.1874158]",[],[],[]
3,1,Pursuers: 3 vs Evaders: 1,20,8977,adversary_0,active,"[1.0, 0.0, 1.6640254259109497, 0.9256977438926697, -0.694335401058197, 0.33479008078575134, -2.7811026573181152, -2.4027843475341797, -1.598883867263794, -0.9061442017555237, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",,,,"[1.0, 0.0]","[1.6640254259109497, 0.9256977438926697]","[0.7708347, 3.6753101, 1.8378049]","[2.6923077, -2.429045, -2.6259916]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,20,8977,adversary_1,non-active,"[0.9990600943565369, 0.0433468334376812, 0.9696899652481079, 1.2604877948760986, 0.694335401058197, -0.33479008078575134, -2.0867671966552734, -2.737574338912964, -0.9045484662055969, -1.2409342527389526, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.43761120585032665, 0.0]",,,,"[0.9990600943565369, 0.0433468334376812]","[0.9696899652481079, 1.2604877948760986]","[0.7708347, 3.4422247, 1.535619]","[-0.449285, -2.2221034, -2.2006726]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,20,8977,adversary_2,non-active,"[-0.8378443717956543, 0.5459091067314148, -1.117077350616455, -1.4770865440368652, 2.7811026573181152, 2.4027843475341797, 2.0867671966552734, 2.737574338912964, 1.1822187900543213, 1.4966400861740112, -0.0, -0.0]","[0.0, 1.0, 0.0, 0.0, 1.0]",,,,"[-0.8378443717956543, 0.5459091067314148]","[-1.117077350616455, -1.4770865440368652]","[3.6753101, 3.4422247, 1.9072422]","[0.71254766, 0.9194894, 0.902235]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,20,8977,agent_0,evader,"[-0.0, -0.0, 0.06514149159193039, 0.019553527235984802, 1.598883867263794, 0.9061442017555237, 0.9045484662055969, 1.2409342527389526, -1.1822187900543213, -1.4966400861740112]","[0.0, -2.7070388328783563, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[0.06514149159193039, 0.019553527235984802]","[1.8378049, 1.535619, 1.9072422]","[0.5156011, 0.94091994, -2.2393577]",[],[],[]
3,1,Pursuers: 3 vs Evaders: 1,21,8977,adversary_0,active,"[1.0, 0.0, 1.7640254497528076, 0.9256977438926697, -0.6944293975830078, 0.33912476897239685, -2.9648871421813965, -2.348193407058716, -1.6988838911056519, -0.9061442017555237, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]",,,,"[1.0, 0.0]","[1.7640254497528076, 0.9256977438926697]","[0.77281165, 3.782138, 1.925436]","[2.6873083, -2.4717484, -2.651602]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,21,8977,adversary_1,non-active,"[0.9955987334251404, -0.09371864050626755, 1.0695959329605103, 1.2648224830627441, 0.6944293975830078, -0.33912476897239685, -2.2704577445983887, -2.6873180866241455, -1.004454493522644, -1.2452689409255981, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.5570002315352305, 0.0]",,,,"[0.9955987334251404, -0.09371864050626755]","[1.0695959329605103, 1.2648224830627441]","[0.77281165, 3.5180473, 1.5998824]","[-0.4542845, -2.2723098, -2.2495587]",[],[],"[-0.0, -0.0]"
