game,number_of_game_type,game_type,round,agent,seed,observation,action,reward,termination,truncation,self_vel,self_pos,angles_to_pursuers,angles_to_evaders,velocities_of_evaders,velocities_of_pursuers,distances_to_landmarks,angles_to_landmarks,other_agent_velocities,distances_to_evaders,distances_to_pursuers,value_function,interception_point,is_evader_capture,radius
1,1,Pursuers: 5 vs Evaders: 5,1,adversary_0,8984,"[ 0.          0.         -0.38419756  0.07419163  0.04699611  0.48065332
  0.4203208  -0.6223162   0.43429697 -0.95826495  1.0542972  -0.00885807
 -0.09277248  0.17958273 -0.31215665  0.24097326  0.82068336  0.3162572
  0.94943213 -0.20911004  0.0497162  -0.3392527   0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, -1.0, 0.9166026680787329, 0.0, 0.0]",,,,[0. 0.],[-0.38419756  0.07419163],"[0.0, 1.4733307, -0.9767626, -1.1452746, -0.008401674]","[2.0476358, 2.484183, 0.36782092, -0.21678635, -1.4252858]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.48294538, 0.75096405, 1.0520862, 1.0543344, 0.20213038]","[1.4733306, -0.9767626, -1.1452746, -0.008401674, 2.0476358]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20213036, 0.39434743, 0.8795111, 0.9721874, 0.34287623]","[0.0, 0.4829454, 0.75096405, 1.0520862, 1.0543344]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,"[False, False, False, False, False]",0.25715716523361615
1,1,Pursuers: 5 vs Evaders: 5,1,adversary_1,8984,"[ 0.          0.         -0.33720148  0.554845   -0.04699611 -0.48065332
  0.37332472 -1.1029695   0.38730085 -1.4389182   1.0073011  -0.4895114
 -0.13976859 -0.3010706  -0.35915276 -0.23968005  0.77368724 -0.16439612
  0.902436   -0.68976337  0.0027201  -0.81990606  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, 1.0, -0.3117656299165479, 0.0, 0.0]",,,,[0. 0.],[-0.33720148  0.554845  ],"[-1.668262, 0.0, -1.2444278, -1.3078666, -0.45235538]","[-2.0054276, -2.553118, -0.20937006, -0.6526125, -1.5674788]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.48294538, 1.1644368, 1.4901301, 1.119945, 0.33193186]","[-1.668262, -1.2444278, -1.3078666, -0.45235536, -2.0054278]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.3319319, 0.43178377, 0.7909602, 1.135854, 0.8199105]","[0.4829454, 0.0, 1.1644368, 1.4901302, 1.119945]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,"[False, False, False, False, False]",0.6149329260309768
1,1,Pursuers: 5 vs Evaders: 5,1,adversary_2,8984,"[ 0.          0.          0.03612325 -0.54812455 -0.4203208   0.6223162
 -0.37332472  1.1029695   0.01397614 -0.3359488   0.6339764   0.6134581
 -0.5130933   0.8018989  -0.7324775   0.8632895   0.40036252  0.93857336
  0.5291113   0.41320616 -0.3706046   0.28306347  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, 0.5885393112299445, 1.0, 0.0, 0.0]",,,,[0. 0.],[ 0.03612325 -0.54812455],"[2.16483, 1.8971648, 0.0, -1.5292183, 0.7689512]","[2.1400015, 2.2744029, 1.1676009, 0.6630128, 2.4893253]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.75096405, 1.1644368, 0.3362394, 0.8821887, 0.95200133]","[2.16483, 1.8971648, -1.5292183, 0.7689513, 2.1400015]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.95200133, 1.1321625, 1.0203971, 0.6713405, 0.46633968]","[0.75096405, 1.1644368, 0.0, 0.33623937, 0.88218874]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,"[False, False, False, False, False]",0.3497547636310184
1,1,Pursuers: 5 vs Evaders: 5,1,adversary_3,8984,"[ 0.          0.          0.05009939 -0.8840733  -0.43429697  0.95826495
 -0.38730085  1.4389182  -0.01397614  0.3359488   0.62000024  0.9494069
 -0.52706945  1.1378477  -0.74645364  1.1992382   0.3863864   1.2745222
  0.51513517  0.7491549  -0.38458076  0.61901224  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, 0.43518392309243126, 1.0, 0.0, 0.0]",,,,[0. 0.],[ 0.05009939 -0.8840733 ],"[1.996318, 1.833726, 1.6123743, 0.0, 0.9922873]","[2.0045862, 2.1275525, 1.2764413, 0.96842635, 2.126717]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.0520862, 1.4901301, 0.3362394, 1.1339196, 1.2539934]","[1.996318, 1.8337262, 1.6123743, 0.99228734, 2.0045862]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.2539934, 1.4125739, 1.3318038, 0.90917397, 0.7287513]","[1.0520862, 1.4901302, 0.33623937, 0.0, 1.1339196]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,"[False, False, False, False, False]",0.5465634908288455
1,1,Pursuers: 5 vs Evaders: 5,1,adversary_4,8984,"[ 0.          0.          0.6700997   0.06533356 -1.0542972   0.00885807
 -1.0073011   0.4895114  -0.6339764  -0.6134581  -0.62000024 -0.9494069
 -1.1470697   0.1884408  -1.3664539   0.24983133 -0.23361388  0.32511526
 -0.10486509 -0.20025197 -1.004581   -0.33039463  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]","[0.0, -0.8752991691379606, 1.0, 0.0, 0.0]",,,,[0. 0.],[0.6700997  0.06533356],"[3.1331909, 2.6892374, -2.3726416, -2.1493053, 0.0]","[2.978767, 2.960758, 2.1938684, -2.053197, -2.8238482]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.0543344, 1.119945, 0.8821887, 1.1339196, 1.1624452]","[3.1331909, 2.6892374, -2.3726413, -2.1493053, 2.978767]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.1624452, 1.3891047, 0.4003441, 0.22604766, 1.0575176]","[1.0543344, 1.119945, 0.88218874, 1.1339196, 0.0]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,"[False, False, False, False, False]",0.7931382244121965
1,1,Pursuers: 5 vs Evaders: 5,1,agent_0,8984,"[ 0.          0.         -0.47697005  0.25377434  0.09277248 -0.17958273
  0.13976859  0.3010706   0.5130933  -0.8018989   0.52706945 -1.1378477
  1.1470697  -0.1884408  -0.21938418  0.06139054  0.91345584  0.13667448
  1.0422046  -0.38869277  0.14248869 -0.5188354   0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,[0. 0.],[-0.47697005  0.25377434],"[-1.0939568, 1.136165, -1.0015911, -1.1370063, -0.16282578]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.20213038, 0.33193186, 0.95200133, 1.2539934, 1.1624452]","[-1.0939568, 1.136165, -1.0015911, -1.1370063, -0.16282578]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.20213036, 0.3319319, 0.95200133, 1.2539934, 1.1624452]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 5,1,agent_1,8984,"[ 0.          0.         -0.6963542   0.3151649   0.31215665 -0.24097326
  0.35915276  0.23968005  0.7324775  -0.8632895   0.74645364 -1.1992382
  1.3664539  -0.24983133  0.21938418 -0.06139054  1.13284     0.07528393
  1.2615888  -0.45008332  0.36187285 -0.58022594  0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, -1.0, 1.0, 0.0, 0.0]",,,,[0. 0.],[-0.6963542  0.3151649],"[-0.65740967, 0.5884746, -0.8671897, -1.0140402, -0.18083459]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.39434743, 0.4317838, 1.1321625, 1.4125739, 1.3891047]","[-0.65740967, 0.5884745, -0.86718965, -1.0140401, -0.18083459]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.39434743, 0.43178377, 1.1321625, 1.4125739, 1.3891047]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 5,1,agent_2,8984,"[ 0.          0.          0.43648577  0.39044884 -0.82068336 -0.3162572
 -0.77368724  0.16439612 -0.40036252 -0.93857336 -0.3863864  -1.2745222
  0.23361388 -0.32511526 -0.91345584 -0.13667448 -1.13284    -0.07528393
  0.12874879 -0.52536726 -0.7709671  -0.6555099   0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, -1.0, 1.0, 0.0, 0.0]",,,,[0. 0.],[0.43648577 0.39044884],"[-2.7737718, 2.9322226, -1.9739918, -1.8651513, -0.94772416]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.8795111, 0.7909602, 1.0203971, 1.3318038, 0.40034407]","[-2.7737718, 2.9322226, -1.9739918, -1.8651513, -0.9477243]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.8795111, 0.7909602, 1.0203971, 1.3318038, 0.4003441]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 5,1,agent_3,8984,"[ 0.          0.          0.56523454 -0.1349184  -0.94943213  0.20911004
 -0.902436    0.68976337 -0.5291113  -0.41320616 -0.51513517 -0.7491549
  0.10486509  0.20025197 -1.0422046   0.38869277 -1.2615888   0.45008332
 -0.12874879  0.52536726 -0.89971596 -0.13014267  0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,[0. 0.],[ 0.56523454 -0.1349184 ],"[2.9248064, 2.48898, -2.4785798, -2.1731663, 1.0883957]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.9721874, 1.135854, 0.6713405, 0.90917397, 0.22604765]","[2.9248064, 2.48898, -2.47858, -2.1731663, 1.088396]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.9721874, 1.135854, 0.6713405, 0.90917397, 0.22604766]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 5,1,agent_4,8984,"[ 0.          0.         -0.33448136 -0.26506108 -0.0497162   0.3392527
 -0.0027201   0.81990606  0.3706046  -0.28306347  0.38458076 -0.61901224
  1.004581    0.33039463 -0.14248869  0.5188354  -0.36187285  0.58022594
  0.7709671   0.6555099   0.89971596  0.13014267  0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,False,False,[0. 0.],[-0.33448136 -0.26506108],"[1.7163068, 1.574114, -0.6522674, -1.0148757, 0.31774443]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.34287623, 0.8199105, 0.46633968, 0.72875136, 1.0575176]","[1.7163068, 1.5741138, -0.6522674, -1.0148755, 0.31774443]",[0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.34287623, 0.8199105, 0.46633968, 0.7287513, 1.0575176]","{(-0.38419756293296814, 0.0741916298866272, 0.0): 0.0, (-0.33720147609710693, 0.5548449754714966, 0.0): 0.0, (0.03612324595451355, -0.5481245517730713, 0.0): 0.0, (0.050099387764930725, -0.8840733170509338, 0.0): 0.0, (0.670099675655365, 0.06533356010913849, 0.0): 0.0, (-0.47697004675865173, 0.25377434492111206, 0.0): 0.0, (-0.6963542103767395, 0.3151648938655853, 0.0): 0.0, (0.43648576736450195, 0.39044883847236633, 0.0): 0.0, (0.5652345418930054, -0.13491840660572052, 0.0): 0.0, (-0.3344813585281372, -0.26506108045578003, 0.0): 0.0}",[0.24374399 0.22657136],[],
