game,number_of_game_type,game_type,round,agent,seed,observation,action,reward,termination,truncation,self_vel,self_pos,angles_to_pursuers,angles_to_evaders,velocities_of_evaders,velocities_of_pursuers,distances_to_landmarks,angles_to_landmarks,other_agent_velocities,distances_to_evaders,distances_to_pursuers,value_function,interception_point,is_evader_capture,radius
1,1,Pursuers: 5 vs Evaders: 6,1,adversary_0,7094,"[ 0.          0.          0.6533373   0.64363796 -0.55890304 -0.07258885
  0.08386517  0.20542385  0.22324392  0.2933916  -0.107241   -0.6469205
 -1.2413634  -1.1949416  -0.24833135  0.25869617 -1.2286557  -0.7607168
  0.02631355 -1.2440683  -1.3210537  -1.2369405   0.2658327  -1.1789113
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, -1.0, -0.7896222799608021, 0.0, 0.0]",,,,[0. 0.],[0.6533373  0.64363796],"[0.0, -3.0124383, 1.1831946, 0.9203507, -1.7350739]","[-2.3752463, 2.3357549, -2.5872142, -1.5496483, -2.389065, -1.3490156]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.56359714, 0.22188358, 0.36866853, 0.655749, 1.7230406]","[-3.0124383, 1.1831945, 0.9203508, -1.7350739, -2.3752463]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.7230405, 0.35859752, 1.4450898, 1.2443465, 1.8097527, 1.208511]","[0.0, 0.56359714, 0.22188362, 0.36866853, 0.655749]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,"[False, False, False, False, False, False]",0.9063832869552514
1,1,Pursuers: 5 vs Evaders: 6,1,adversary_1,7094,"[ 0.          0.          0.09443425  0.5710491   0.55890304  0.07258885
  0.6427682   0.2780127   0.782147    0.36598045  0.45166206 -0.57433164
 -0.68246037 -1.1223527   0.31057173  0.331285   -0.6697526  -0.68812793
  0.58521664 -1.1714795  -0.7621507  -1.1643517   0.82473576 -1.1063225
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[0.09443425 0.5710491 ],"[0.12915441, 0.0, 0.40822634, 0.43765402, -0.904395]","[-2.117123, 0.8176579, -2.342663, -1.107506, -2.1503782, -0.93019754]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.56359714, 0.70031565, 0.86353666, 0.7306541, 1.3135554]","[0.12915441, 0.40822628, 0.43765402, -0.904395, -2.117123]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.3135554, 0.45409757, 0.9602544, 1.30952, 1.3916137, 1.3799052]","[0.56359714, 0.0, 0.7003157, 0.86353666, 0.7306541]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,"[False, False, False, False, False, False]",1.0349289672786803
1,1,Pursuers: 5 vs Evaders: 6,1,adversary_2,7094,"[ 0.          0.          0.73720247  0.84906185 -0.08386517 -0.20542385
 -0.6427682  -0.2780127   0.13937876  0.08796774 -0.19110617 -0.8523444
 -1.3252286  -1.4003655  -0.3321965   0.05327231 -1.3125207  -0.9661406
 -0.05755161 -1.4494922  -1.4049189  -1.4423643   0.18196751 -1.3843352
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, -1.0, 0.23751116053362864, 0.0, 0.0]",,,,[0. 0.],[0.73720247 0.84906185],"[-1.9583981, -2.7333663, 0.0, 0.56300324, -1.791361]","[-2.3286343, 2.9825826, -2.50705, -1.6104802, -2.3430438, -1.440098]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.22188358, 0.70031565, 0.16481736, 0.8735059, 1.9280182]","[-1.9583982, -2.7333665, 0.5630038, -1.791361, -2.3286343]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.9280182, 0.33644086, 1.6297663, 1.4506342, 2.0135076, 1.3962437]","[0.22188362, 0.7003157, 0.0, 0.16481736, 0.8735059]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,"[False, False, False, False, False, False]",1.0471827448631692
1,1,Pursuers: 5 vs Evaders: 6,1,adversary_3,7094,"[ 0.          0.          0.87658125  0.93702954 -0.22324392 -0.2933916
 -0.782147   -0.36598045 -0.13937876 -0.08796774 -0.33048493 -0.9403121
 -1.4646074  -1.4883332  -0.47157526 -0.03469542 -1.4518995  -1.0541084
 -0.19693036 -1.5374599  -1.5442977  -1.5303321   0.04258876 -1.4723029
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, -1.0, -0.8812628114594743, 0.0, 0.0]",,,,[0. 0.],[0.87658125 0.93702954],"[-2.221242, -2.7039387, -2.5785894, 0.0, -1.9087739]","[-2.34816, -3.0681517, -2.513616, -1.6981908, -2.3607366, -1.5418777]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.36866853, 0.86353666, 0.16481736, 0.9966981, 2.0881116]","[-2.221242, -2.7039387, -2.578589, -1.9087739, -2.34816]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[2.0881116, 0.4728499, 1.7942009, 1.5500208, 2.174114, 1.4729189]","[0.36866853, 0.86353666, 0.16481736, 0.0, 0.9966981]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,"[False, False, False, False, False, False]",1.104689069845225
1,1,Pursuers: 5 vs Evaders: 6,1,adversary_4,7094,"[ 0.          0.          0.5460963  -0.00328255  0.107241    0.6469205
 -0.45166206  0.57433164  0.19110617  0.8523444   0.33048493  0.9403121
 -1.1341224  -0.5480211  -0.14109035  0.9056167  -1.1214147  -0.11379625
  0.13355455 -0.59714776 -1.2138128  -0.59002     0.37307367 -0.5319908
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[0.0, -1.0, -0.6557639754349339, 0.0, 0.0]",,,,[0. 0.],[ 0.5460963  -0.00328255],"[1.4065187, 2.2371976, 1.3502316, 1.2328187, 0.0]","[-2.6914659, 1.7253487, -3.0404632, -1.3507633, -2.6891363, -0.95921284]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.655749, 0.7306541, 0.8735059, 0.9966981, 1.2595875]","[1.4065187, 2.2371976, 1.3502316, 1.2328187, -2.6914659]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[1.2595875, 0.91654134, 1.1271737, 0.6119005, 1.3496166, 0.6497678]","[0.655749, 0.7306541, 0.8735059, 0.9966981, 0.0]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,"[False, False, False, False, False, False]",0.4873258665232445
1,1,Pursuers: 5 vs Evaders: 6,1,agent_0,7094,"[ 0.          0.         -0.5880261  -0.5513036   1.2413634   1.1949416
  0.68246037  1.1223527   1.3252286   1.4003655   1.4646074   1.4883332
  1.1341224   0.5480211   0.9930321   1.4536377   0.01270778  0.4342248
  1.267677   -0.04912671 -0.07969037 -0.04199891  1.5071961   0.01603025
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,[0. 0.],[-0.5880261 -0.5513036],"[0.7663463, 1.0244697, 0.81295836, 0.79343265, 0.45012692]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.7230406, 1.3135554, 1.9280182, 2.0881116, 1.2595875]","[0.7663463, 1.0244697, 0.81295836, 0.79343265, 0.45012692]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],"[1.7230405, 1.3135554, 1.9280182, 2.0881116, 1.2595875]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 6,1,agent_1,7094,"[ 0.          0.          0.40500596  0.90233415  0.24833135 -0.25869617
 -0.31057173 -0.331285    0.3321965  -0.05327231  0.47157526  0.03469542
  0.14109035 -0.9056167  -0.9930321  -1.4536377  -0.98032427 -1.019413
  0.2746449  -1.5027645  -1.0727224  -1.4956367   0.51416403 -1.4376075
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, -1.0, 0.39585193422271436, 0.0, 0.0]",,,,[0. 0.],[0.40500596 0.90233415],"[-0.8058377, -2.3239348, -0.15901001, 0.07344106, -1.416244]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[0.3585975, 0.4540975, 0.33644086, 0.47284988, 0.91654134]","[-0.8058376, -2.3239348, -0.15901001, 0.07344119, -1.416244]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],"[0.35859752, 0.45409757, 0.33644086, 0.4728499, 0.91654134]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 6,1,agent_2,7094,"[ 0.          0.         -0.57531834 -0.1170788   1.2286557   0.7607168
  0.6697526   0.68812793  1.3125207   0.9661406   1.4518995   1.0541084
  1.1214147   0.11379625 -0.01270778 -0.4342248   0.98032427  1.019413
  1.2549692  -0.48335153 -0.09239816 -0.47622374  1.4944884  -0.4181946
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.57531834 -0.1170788 ],"[0.55437833, 0.7989297, 0.6345427, 0.6279766, 0.10112946]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.4450899, 0.96025443, 1.6297663, 1.7942009, 1.1271737]","[0.55437833, 0.7989297, 0.6345427, 0.6279766, 0.10112945]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],"[1.4450898, 0.9602544, 1.6297663, 1.7942009, 1.1271737]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 6,1,agent_3,7094,"[ 0.          0.          0.67965084 -0.6004303  -0.02631355  1.2440683
 -0.58521664  1.1714795   0.05755161  1.4494922   0.19693036  1.5374599
 -0.13355455  0.59714776 -1.267677    0.04912671 -0.2746449   1.5027645
 -1.2549692   0.48335153 -1.3473674   0.0071278   0.23951913  0.06515696
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,[0. 0.],[ 0.67965084 -0.6004303 ],"[1.5919443, 2.0340867, 1.5311126, 1.4434018, 1.7908293]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.2443465, 1.30952, 1.4506342, 1.5500208, 0.6119005]","[1.5919443, 2.0340867, 1.5311126, 1.4434019, 1.7908293]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],"[1.2443465, 1.30952, 1.4506342, 1.5500208, 0.6119005]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,[],
1,1,Pursuers: 5 vs Evaders: 6,1,agent_4,7094,"[ 0.          0.         -0.6677165  -0.59330255  1.3210537   1.2369405
  0.7621507   1.1643517   1.4049189   1.4423643   1.5442977   1.5303321
  1.2138128   0.59002     0.07969037  0.04199891  1.0727224   1.4956367
  0.09239816  0.47622374  1.3473674  -0.0071278   1.5868865   0.05802915
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]","[0.0, -1.0, -1.0, 0.0, 0.0]",,,,[0. 0.],[-0.6677165  -0.59330255],"[0.75252753, 0.9912145, 0.79854876, 0.78085595, 0.4524563]",[],[],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[1.8097527, 1.3916136, 2.0135074, 2.174114, 1.3496166]","[0.75252753, 0.9912146, 0.7985487, 0.78085595, 0.4524563]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[],"[1.8097527, 1.3916137, 2.0135076, 2.174114, 1.3496166]","{(0.653337299823761, 0.6436379551887512, 0.0): 0.0, (0.09443424642086029, 0.5710490942001343, 0.0): 0.0, (0.7372024655342102, 0.8490618467330933, 0.0): 0.0, (0.8765812516212463, 0.9370295405387878, 0.0): 0.0, (0.5460963249206543, -0.003282548626884818, 0.0): 0.0, (-0.5880261063575745, -0.5513036251068115, 0.0): 0.0, (0.40500596165657043, 0.9023341536521912, 0.0): 0.0, (-0.5753183364868164, -0.11707880347967148, 0.0): 0.0, (0.6796508431434631, -0.6004303097724915, 0.0): 0.0, (-0.6677165031433105, -0.5933025479316711, 0.0): 0.0, (0.9191700220108032, -0.5352733731269836, 0.0): 0.0}",,[],
