game,number_of_game_type,game_type:,round,seed,agent,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,distance_to_evader,distance_to_pursuers,angle_to_evader,angle_to_pursuers,evader_velocity,pursuers_velocities,distances_to_landmarks,angles_to_landmarks,is_evader_captured
1,1,Pursuers: 2 vs Evaders: 1,1,3007,adversary_0,active,"[ 0.          0.          0.6826895  -0.37689072  0.96438974 -0.5825927
 -0.14750761 -0.4702041   0.          0.        ]","[0.0, 0.4489896286127518, 0.0, 1.0, 0.0]",,,,"[0.0, 0.0]","[-0.10778751224279404, 0.8979214429855347]","[1.126704, 0.4927985]",0.0,[0.4927985],"[0.0, -0.5434325]",[-1.8747829],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,1,3007,adversary_1,non-active,"[ 0.          0.          1.4775455  -1.0501124  -0.96438974  0.5825927
 -1.1118973   0.11238866  0.          0.        ]","[0.0, 1.0, 0.0, 1.0, 0.0]",,,,"[0.0, 0.0]","[0.8566021919250488, 0.3153287172317505]","[1.126704, 1.1175629]",1.126704,[1.1175629],"[2.5981603, 0.0]",[3.0408566],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,1,3007,agent_0,evader,"[ 0.          0.         -3.0368762  -0.03616909  0.14750761  0.4702041
  1.1118973  -0.11238866]","[0.0, -2.8199971882324055, 0.0, 0.0, 0.0]",0.0,False,False,"[0.0, 0.0]","[-0.25529512763023376, 0.4277173578739166]","[0.4927985, 1.1175629]","[0.4927985, 1.1175629]",[0.0],"[1.2668097, -0.10073612]",[0.0],"[array([0., 0.], dtype=float32), array([0., 0.], dtype=float32)]","[array([0., 0.], dtype=float32)]",[],[],[]
1,1,Pursuers: 2 vs Evaders: 1,2,3007,adversary_0,active,"[-0.13469689 -0.3         0.6826895  -0.37689072  0.96438974 -0.5825927
 -0.14750761 -0.4702041  -0.         -0.        ]","[0.0, 0.4489896286127518, 0.0, 1.0, 0.0]",,,,"[-0.13469688594341278, -0.30000001192092896]","[-0.10778751224279404, 0.8979214429855347]","[1.126704, 0.4927985]",0.0,[0.4927985],"[0.0, -0.5434325]",[-1.8747829],"[array([-0.13469689, -0.3       ], dtype=float32), array([-0.3, -0.3], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,2,3007,adversary_1,non-active,"[-0.3        -0.3         1.4775455  -1.0501124  -0.96438974  0.5825927
 -1.1118973   0.11238866 -0.         -0.        ]","[0.0, 1.0, 0.0, 1.0, 0.0]",,,,"[-0.30000001192092896, -0.30000001192092896]","[0.8566021919250488, 0.3153287172317505]","[1.126704, 1.1175629]",1.126704,[1.1175629],"[2.5981603, 0.0]",[3.0408566],"[array([-0.13469689, -0.3       ], dtype=float32), array([-0.3, -0.3], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,2,3007,agent_0,evader,"[-0.         -0.         -3.0368762  -0.03616909  0.14750761  0.4702041
  1.1118973  -0.11238866]","[0.0, -2.8199971882324055, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[-0.25529512763023376, 0.4277173578739166]","[0.4927985, 1.1175629]","[0.4927985, 1.1175629]",[0.0],"[1.2668097, -0.10073612]",[0.0],"[array([-0.13469689, -0.3       ], dtype=float32), array([-0.3, -0.3], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[]
1,1,Pursuers: 2 vs Evaders: 1,3,3007,adversary_0,active,"[-0.23571956 -0.525       0.6901234  -0.39368927  0.9478594  -0.5825927
 -0.13403793 -0.44020408 -0.         -0.        ]","[0.0, 0.4369297175708135, 0.0, 1.0, 0.0]",,,,"[-0.23571956157684326, -0.5249999761581421]","[-0.12125720083713531, 0.8679214119911194]","[1.1125878, 0.46015844]",0.0,[0.4601584],"[0.0, -0.55111504]",[-1.8663677],"[array([-0.23571956, -0.525     ], dtype=float32), array([-0.525, -0.525], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,3,3007,adversary_1,non-active,"[-0.525      -0.525       1.6056027  -0.9965286  -0.9478594   0.5825927
 -1.0818974   0.14238866 -0.         -0.        ]","[0.0, 1.0, 0.0, 1.0, 0.0]",,,,"[-0.5249999761581421, -0.5249999761581421]","[0.8266022205352783, 0.2853287160396576]","[1.1125878, 1.091227]",1.1125878,[1.091227],"[2.5904777, 0.0]",[3.0107346],"[array([-0.23571956, -0.525     ], dtype=float32), array([-0.525, -0.525], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,3,3007,agent_0,evader,"[-0.         -0.         -3.0368762  -0.03616909  0.13403793  0.44020408
  1.0818974  -0.14238866]","[0.0, -2.8199971882324055, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[-0.25529512763023376, 0.4277173578739166]","[0.46015844, 1.091227]","[0.4601584, 1.091227]",[0.0],"[1.2752249, -0.13085803]",[0.0],"[array([-0.23571956, -0.525     ], dtype=float32), array([-0.525, -0.525], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[]
1,1,Pursuers: 2 vs Evaders: 1,4,3007,adversary_0,active,"[-0.30786857 -0.69375     0.7000586  -0.42399967  0.91893137 -0.5825927
 -0.11046597 -0.38770407 -0.         -0.        ]","[0.0, 0.4110267746150381, 0.0, 1.0, 0.0]",,,,"[-0.3078685700893402, -0.6937500238418579]","[-0.1448291540145874, 0.815421462059021]","[1.0880483, 0.4031342]",0.0,[0.4031342],"[0.0, -0.5650375]",[-1.8483646],"[array([-0.30786857, -0.69375   ], dtype=float32), array([-0.69375, -0.69375], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,4,3007,adversary_1,non-active,"[-0.69375    -0.69375     1.8186176  -0.84373415 -0.91893137  0.5825927
 -1.0293974   0.19488865 -0.         -0.        ]","[0.0, 1.0, 0.0, 1.0, 0.0]",,,,"[-0.6937500238418579, -0.6937500238418579]","[0.7741022109985352, 0.23282872140407562]","[1.0880483, 1.0476834]",1.0880483,[1.0476834],"[2.5765553, 0.0]",[2.9544842],"[array([-0.30786857, -0.69375   ], dtype=float32), array([-0.69375, -0.69375], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[True]
1,1,Pursuers: 2 vs Evaders: 1,4,3007,agent_0,evader,"[-0.         -0.         -3.0368762  -0.03616909  0.11046597  0.38770407
  1.0293974  -0.19488865]","[0.0, -2.8199971882324055, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[-0.25529512763023376, 0.4277173578739166]","[0.4031342, 1.0476834]","[0.4031342, 1.0476834]",[0.0],"[1.293228, -0.18710849]",[0.0],"[array([-0.30786857, -0.69375   ], dtype=float32), array([-0.69375, -0.69375], dtype=float32)]","[array([-0., -0.], dtype=float32)]",[],[],[]
